Region,State_UT,Sector,Coal_MW,Lignite_MW,Gas_MW,Diesel_MW,Thermal_Total_MW,Nuclear_MW,Hydro_MW,RES_MNRE_MW,Total_RES_incl_Hydro_MW,Grand_Total_MW,thermal_share_pct,hydro_share_pct,nuclear_share_pct,res_share_pct,coal_share_thermal_pct,lignite_share_thermal_pct,gas_share_thermal_pct,diesel_share_thermal_pct,non_fossil_capacity_mw,non_fossil_share_pct
Southern Region,Southern Region,Central,140.8,111.8,0.0,0.0,252.6,86.0,0.0,0.0,0.0,338.6,74.60129946839929,0.0,25.39870053160071,0.0,55.74030087094221,44.2596991290578,0.0,0.0,86.0,25.39870053160071
Southern Region,Southern Region,Sub-Total,140.8,111.8,32.5,0.0,285.1,86.0,0.0,92.51,92.51,463.61,61.495653674424624,0.0,18.550074415996203,19.954271909579173,49.38618028761838,39.21431076815152,11.399508944230094,0.0,178.51,38.50434632557537
Southern Region,Southern Region,Central,1666.0,418.0,0.0,0.0,2084.0,450.0,0.0,0.0,0.0,2534.0,82.24151539068666,0.0,17.75848460931334,0.0,79.94241842610364,20.057581573896353,0.0,0.0,450.0,17.75848460931334
Southern Region,Southern Region,State,26130.0,0.0,1152.03,159.96,27441.99,0.0,11996.48,1457.35,13453.83,40895.82,67.10218794977091,29.334244917940268,0.0,3.563567132288825,95.21904205926757,0.0,4.198055607483276,0.5829023332491557,13453.83,32.89781205022909
Southern Region,Total (Southern,Private,14406.0,250.0,1834.5,273.7,16764.21,0.0,1680.0,69969.16,71649.16,88413.36,18.961172836322472,1.9001653143823511,0.0,79.13867315980299,85.93306812548876,1.491272180436776,10.94295526004506,1.6326447831421822,71649.16,81.03883847418535
Southern Region,Region),Central,13827.04,3390.0,359.58,0.0,17576.62,3320.0,0.0,2054.62,2054.62,22951.24,76.58244173299568,0.0,14.465449361341696,8.952108905662612,78.667229535599,19.286984642098425,2.0457858223025815,0.0,5374.62,23.417558267004306
Southern Region,Region),Grand Total,54363.04,3640.0,3346.11,433.66,61782.81,3320.0,13676.48,73481.13,87157.61,152260.42,40.57706526751995,8.982294939157528,2.18047474189287,48.26016505142965,87.99055918628498,5.891606419326023,5.415923943893132,0.7019104504958581,90477.61,59.42293473248005
Eastern Region,Eastern Region,State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.7,70.7,70.7,0.0,0.0,0.0,100.0,,,,,70.7,100.0
Eastern Region,Eastern Region,Private,700.0,0.0,0.0,0.0,700.0,0.0,0.0,638.6,638.6,1338.6,52.29344090841178,0.0,0.0,47.70655909158823,100.0,0.0,0.0,0.0,638.6,47.70655909158823
Eastern Region,Eastern Region,Central,7274.79,0.0,0.0,0.0,7274.79,0.0,72.88,0.0,72.88,7347.66,99.00825568956647,0.9918804081843744,0.0,0.0,100.0,0.0,0.0,0.0,72.88,0.9918804081843744
Eastern Region,Eastern Region,Sub-Total,7974.79,0.0,0.0,0.0,7974.79,0.0,72.88,709.3,782.18,8756.96,91.06801903857047,0.8322522884654034,0.0,8.099842867844549,100.0,0.0,0.0,0.0,782.18,8.932095156309952
